Term,UnitsTypeCV,UnitsAbbreviation,UnitsName,UnitsLink
planckMomentum,Linear momentum,,Planck Momentum,http://qudt.org/vocab/unit#PlanckMomentum
meterPerKelvin,Linear thermal expansion,,Meter per Kelvin,http://qudt.org/vocab/unit#MeterPerKelvin
centimeterPerHour,Linear velocity,cm/hr,Centimeter per Hour,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
centimeterPerSecond,Linear velocity,,Centimeter per Second,http://qudt.org/vocab/unit#CentimeterPerSecond; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
footPerHour,Linear velocity,ft/hr,Foot per Hour,http://qudt.org/vocab/unit#FootPerHour
footPerMinute,Linear velocity,ft/min,Foot per Minute,http://qudt.org/vocab/unit#FootPerMinute
footPerSecond,Linear velocity,ft/s,Foot per Second,http://qudt.org/vocab/unit#FootPerSecond; http://qwwebservices.usgs.gov/service-domains.html
inchPerDay,Linear velocity,in/d,Inch per Day,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
inchPerHour,Linear velocity,in/hr,Inch per Hour,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
inchPerSecond,Linear velocity,,Inch per Second,http://qudt.org/vocab/unit#InchPerSecond
inchPerWeek,Linear velocity,in/week,Inch per Week,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
kilometerPerHour,Linear velocity,km/hr,Kilometer per Hour,http://qudt.org/vocab/unit#KilometerPerHour; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
kilometerPerSecond,Linear velocity,km/s,Kilometer per Second,http://qudt.org/vocab/unit#KilometerPerSecond
knot,Linear velocity,kn_i,Knot,http://qudt.org/vocab/unit#Knot; http://unitsofmeasure.org/ucum.html#para-34; http://www.unidata.ucar.edu/software/udunits/
"knot,British",Linear velocity,kn_br,"Knot, British",http://unitsofmeasure.org/ucum.html#para-36
meterPerDay,Linear velocity,m/d,Meter per Day,http://environment.data.gov.au/def/unit/MeterPerDay
meterPerHour,Linear velocity,m/h,Meter per Hour,http://qudt.org/vocab/unit#MeterPerHour
meterPerMinute,Linear velocity,m/min,Meter per Minute,http://qudt.org/vocab/unit#MeterPerMinute
meterPerSecond,Linear velocity,m/s,Meter per Second,http://qudt.org/vocab/unit#MeterPerSecond; http://qwwebservices.usgs.gov/service-domains.html
milePerHour,Linear velocity,mph,Mile per Hour,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qudt.org/vocab/unit#MilePerHour
milePerMinute,Linear velocity,mi/min,Mile per Minute,http://qudt.org/vocab/unit#MilePerMinute
millimeterPerDay,Linear velocity,mm/day,Millimeter per Day,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
millimeterPerHour,Linear velocity,mm/hr,Millimeter per Hour,http://environment.data.gov.au/def/unit/MillimeterPerHour
millimeterPerSecond,Linear velocity,mm/s,Millimeter per Second,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
nauticalMilePerHour,Linear velocity,knot,Nautical Mile per Hour,http://qudt.org/vocab/unit#NauticalMilePerHour; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
nauticalMilePerMinute,Linear velocity,nmi/min,Nautical Mile per Minute,http://qudt.org/vocab/unit#NauticalMilePerMinute
apostilb,Luminance,,Apostilb,http://www.unidata.ucar.edu/software/udunits/
blondel,Luminance,,Blondel,http://www.unidata.ucar.edu/software/udunits/
candelaPerSquareInch,Luminance,cd/in^2,Candela per Square Inch,http://qudt.org/vocab/unit#CandelaPerSquareInch
candelaPerSquareMeter,Luminance,cd/m^2,Candela per Square Meter,http://qudt.org/vocab/unit#CandelaPerSquareMeter
footLambert,Luminance,ft-L,Foot Lambert,http://qudt.org/vocab/unit#FootLambert; http://www.unidata.ucar.edu/software/udunits/
lambert,Luminance,Lmb,Lambert,http://qudt.org/vocab/unit#Lambert; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://unitsofmeasure.org/ucum.html#para-33http://www.unidata.ucar.edu/software/udunits/; https://en.wikipedia.org/wiki/Lambert_%28unit%29
nit,Luminance,nt,Nit,http://www.unidata.ucar.edu/software/udunits/
stilb,Luminance,sb,Stilb,http://qudt.org/vocab/unit#Stilb; http://unitsofmeasure.org/ucum.html#para-33; http://www.unidata.ucar.edu/software/udunits/
lumenPerWatt,Luminous efficacy,,Lumen per Watt,http://qudt.org/vocab/unit#LumenPerWatt
lumenSecond,Luminous energy,lm s,Lumen Second,http://qudt.org/vocab/unit#LumenSecond
lumen,Luminous flux,lm,Lumen,http://qudt.org/vocab/unit#Lumen; http://unitsofmeasure.org/ucum.html#para-30; http://www.unidata.ucar.edu/software/udunits/
candela,Luminous intensity,cd,Candela,http://qudt.org/vocab/unit#Candela
candle,Luminous intensity,cd,Candle,http://qudt.org/vocab/unit#Candle
candlepower,Luminous intensity,cd,Candlepower,http://qudt.org/vocab/unit#Candlepower
electronvoltPerTesla,Magnetic dipole moment,eV T^-1,ElectronVolt per Tesla,http://qudt.org/vocab/unit#ElectronVoltPerTesla
joulePerTesla,Magnetic dipole moment,J/T,Joule per Tesla,http://qudt.org/vocab/unit#JoulePerTesla
amperePerMeter,Magnetic field strength,A/m,Ampere per Meter,http://qudt.org/vocab/unit#AmperePerMeter
ampereTurnPerInch,Magnetic field strength,At/in,Ampere Turn per Inch,http://qudt.org/vocab/unit#AmpereTurnPerInch
ampereTurnPerMeter,Magnetic field strength,At/m,Ampere Turn per Meter,http://qudt.org/vocab/unit#AmpereTurnPerMeter
oersted,Magnetic field strength,Oe,Oersted,http://qudt.org/vocab/unit#Oersted; http://unitsofmeasure.org/ucum.html#para-33; http://www.unidata.ucar.edu/software/udunits/
abvoltSecond,Magnetic flux,,Abvolt Second,http://qudt.org/vocab/unit#AbvoltSecond
maxwell,Magnetic flux,Mx,Maxwell,http://qudt.org/vocab/unit#Maxwell; http://unitsofmeasure.org/ucum.html#para-33; http://www.unidata.ucar.edu/software/udunits/
unitPole,Magnetic flux,U/nWb,Unit Pole,http://qudt.org/vocab/unit#UnitPole; http://www.unidata.ucar.edu/software/udunits/
weber,Magnetic flux,Wb,Weber,http://qudt.org/vocab/unit#Weber; http://unitsofmeasure.org/ucum.html#para-30; http://www.unidata.ucar.edu/software/udunits/
abtesla,Magnetic flux density,,Abtesla,http://qudt.org/vocab/unit#Abtesla
gamma,Magnetic flux density,gamma,Gamma,http://qudt.org/vocab/unit#Gamma
gauss,Magnetic flux density,G,Gauss,http://qudt.org/vocab/unit#Gauss; http://unitsofmeasure.org/ucum.html#para-33
tesla,Magnetic flux density,T,Tesla,http://qudt.org/vocab/unit#Tesla; http://unitsofmeasure.org/ucum.html#para-30; http://www.unidata.ucar.edu/software/udunits/
teslaMeter,Magnetic flux per length,m T,Tesla Meter,http://qudt.org/vocab/unit#TeslaMeter
henryPerMeter,Magnetic permeability,H/m,Henry per Meter,http://qudt.org/vocab/unit#HenryPerMeter
stathenryPerCentimeter,Magnetic permeability,,Stathenry per Centimeter,http://qudt.org/vocab/unit#StathenryPerCentimeter
ampereTurn,Magnetomotive force,At,Ampere Turn,http://qudt.org/vocab/unit#AmpereTurn
gilbert,Magnetomotive force,Gi; Gb,Gilbert,http://qudt.org/vocab/unit#Gilbert; http://unitsofmeasure.org/ucum.html#para-33
oerstedCentimeter,Magnetomotive force,Oe-cm,Oersted Centimeter,http://qudt.org/vocab/unit#OerstedCentimeter
assayTon,Mass,AT,Assay Ton,http://qudt.org/vocab/unit#TonAssay; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
atomicMassUnit,Mass,amu,Atomic Mass Unit,http://qudt.org/vocab/unit#AtomicMassUnit
bag,Mass,,Bag,https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
carat,Mass,car_m,Carat,"http://qudt.org/vocab/unit#Carat, http://unitsofmeasure.org/ucum.html#para-47"
dalton,Mass,Da,Dalton,http://qudt.org/vocab/unit#Dalton
drachm,Mass,dr_ap,Drachm,http://unitsofmeasure.org/ucum.html#para-41; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
"dram,Avoirdupois",Mass,dr_av,"Dram, Avoirdupois",http://unitsofmeasure.org/ucum.html#para-39
grain,Mass,gr,Grain,http://qudt.org/vocab/unit#Grain; http://unitsofmeasure.org/ucum.html#para-39
gram,Mass,g,Gram,http://qudt.org/vocab/unit#Gram; http://unitsofmeasure.org/ucum.html#para-28
kilogram,Mass,kg,Kilogram,http://qudt.org/vocab/unit#Kilogram; http://www.unidata.ucar.edu/software/udunits/
longHundredweight,Mass,lcwt_av,Long Hundredweight,http://unitsofmeasure.org/ucum.html#para-39; http://www.unidata.ucar.edu/software/udunits/; http://qudt.org/vocab/unit#HundredWeightLong
longTon,Mass,lton_av,Long Ton,http://unitsofmeasure.org/ucum.html#para-39; http://www.unidata.ucar.edu/software/udunits/; http://qudt.org/vocab/unit#TonLong
metricTon,Mass,mT,Metric Ton,http://qudt.org/vocab/unit#MetricTon; http://www.unidata.ucar.edu/software/udunits/
microgram,Mass,µg,Microgram,http://environment.data.gov.au/def/unit/Microgram; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
milligram,Mass,mg,Milligram,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
nanogram,Mass,ng,Nanogram,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
"ounce,Avoirdupois",Mass,oz_av,"Ounce, Avoirdupois",http://qudt.org/vocab/unit#OunceMass; http://unitsofmeasure.org/ucum.html#para-39; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
"ounce,Metric",Mass,oz_m,"Ounce, Metric",http://unitsofmeasure.org/ucum.html#para-41
"ounce,Troy",Mass,oz_tr,"Ounce, Troy",http://qudt.org/vocab/unit#OunceTroy; http://unitsofmeasure.org/ucum.html#para-40; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
"ounce,UsApothecary",Mass,oz_ap,"Ounce, US Apothecary",http://unitsofmeasure.org/ucum.html#para-41; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
pennyweight,Mass,pwt_tr,Pennyweight,http://qudt.org/vocab/unit#PennyWeight; http://unitsofmeasure.org/ucum.html#para-40; http://www.unidata.ucar.edu/software/udunits/
picogram,Mass,pg,Picogram,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
planckMass,Mass,,Planck Mass,http://qudt.org/vocab/unit#PlanckMass
pound,Mass,lb_av,Pound,http://unitsofmeasure.org/ucum.html#para-39; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml; http://qudt.org/vocab/unit#PoundMass; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
"pound,Troy",Mass,lb_tr,"Pound, Troy",http://qudt.org/vocab/unit#PoundTroy; http://unitsofmeasure.org/ucum.html#para-40; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
"pound,UsApothecary",Mass,lb_ap,"Pound, US Apothecary",http://unitsofmeasure.org/ucum.html#para-41; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
scruple,Mass,sc_ap,Scruple,http://unitsofmeasure.org/ucum.html#para-41; http://www.unidata.ucar.edu/software/udunits/
shortHundredweight,Mass,scwt_av,Short Hundredweight,http://unitsofmeasure.org/ucum.html#para-39; http://www.unidata.ucar.edu/software/udunits/
shortTon,Mass,ston_av,Short Ton,http://unitsofmeasure.org/ucum.html#para-39; http://www.unidata.ucar.edu/software/udunits/; http://qudt.org/vocab/unit#TonShort
slug,Mass,slug,Slug,http://qudt.org/vocab/unit#Slug; http://www.unidata.ucar.edu/software/udunits/
stone,Mass,stone_av,Stone,http://unitsofmeasure.org/ucum.html#para-39
tonne,Mass,t,Tonne,http://unitsofmeasure.org/ucum.html#para-31; http://qudt.org/vocab/unit#TonMetric; http://qudt.org/vocab/unit#MetricTon; http://www.unidata.ucar.edu/software/udunits/
unifiedAtomicMassUnit,Mass,u,Unified Atomic Mass Unit,http://qudt.org/vocab/unit#UnifiedAtomicMassUnit; http://unitsofmeasure.org/ucum.html#para-31; http://www.unidata.ucar.edu/software/udunits/
kilogramMole,Mass count,kg-mol,Kilogram Mole,
poundMole,Mass count,lb-mol,Pound Mole,http://qudt.org/vocab/unit#PoundMole
kilogramMoleKelvin,Mass count temperature,kg-mol-K,Kilogram Mole Kelvin,
poundMoleDegreeFahrenheit,Mass count temperature,lb-mol-degF,Pound Mole Degree Fahrenheit,http://qudt.org/vocab/unit#PoundMoleDegreeFahrenheit
gramPerSquareMeterPerDay,Mass flux,g/m2/day,Gram per Square Meter per Day,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
gramPerSquareMeterPerHour,Mass flux,g/m^2 hr,Gram per Square Meter per Hour,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
kilogramPerHectarePerDay,Mass flux,kg/ha d,Kilogram per Hectare per Day,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
kilogramPerSquareMeterPerSecond,Mass flux,kg/m^2/s,Kilogram per Square Meter per Second,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
milligramPerSquareMeterPerDay,Mass flux,mg/m^2 d,Milligram per Square Meter per Day,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
milligramPerSquareMeterPerSecond,Mass flux,mg/m^2/s,Milligram per Square Meter per Second,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
nanogramPerSquareMeterPerHour,Mass flux,ng/m^2 hr,Nanogram per Square Meter per Hour,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
nanogramPerSquareMeterPerWeek,Mass flux,ng/m^2 week,Nanogram per Square Meter per Week,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
caratOfGoldAlloys,Mass fraction,car_Au,Carat of Gold Alloys,http://unitsofmeasure.org/ucum.html#para-47
femtogramPerKilogram,Mass fraction,fg/kg,Femtogram per Kilogram,
gramPercent,Mass fraction,g%,Gram percent,http://unitsofmeasure.org/ucum.html#para-45
gramPerKilogram,Mass fraction,g/kg,Gram per Kilogram,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
microgramPerGram,Mass fraction,µg/g,Microgram per Gram,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
microgramPerKilogram,Mass fraction,µg/kg,Microgram per Kilogram,http://environment.data.gov.au/def/unit/MicrogramsPerKilogram; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
microgramPerMilligram,Mass fraction,µg/mg,Microgram per Milligram,http://qwwebservices.usgs.gov/service-domains.html
milligramPerKilogram,Mass fraction,mg/kg,Milligram per Kilogram,http://environment.data.gov.au/def/unit/MilligramsPerKilogram; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
nanogramPerGram,Mass fraction,ng/g,Nanogram per Gram,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
nanogramPerKilogram,Mass fraction,ng/kg,Nanogram per Kilogram,
percentByWeight,Mass fraction,% by wt,Percent by Weight,http://qwwebservices.usgs.gov/service-domains.html
picogramPerGram,Mass fraction,pg/g,Picogram per Gram,http://qwwebservices.usgs.gov/service-domains.html
picogramPerKilogram,Mass fraction,pg/kg,Picogram per Kilogram,http://qwwebservices.usgs.gov/service-domains.html
tonPerKiloton,Mass fraction,tCaCO3/Kt,Ton per Kiloton,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
nanomolePerMinutePerMilligram,Mass normalized particle loading,nmol/min mg,Nanomole per Minute per Milligram,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
picomolePerMinutePerMilligram,Mass normalized particle loading,pmol/min mg,Picomole per Minute per Milligram,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
superoxideDismutaseUnitPerMinutePerMilligram,Mass normalized particle loading,U/min mg,Superoxide Dismutase Unit per Minute per Milligram,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
gramPer0.1SquareMeter,Mass per area,g/0.1 m^2,Gram per 0.1 Square Meter,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
gramPerSquareMeter,Mass per area,g/m2,Gram per Square Meter,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
kilogramPer1000SquareMeter,Mass per area,kg/1000 m^2,Kilogram per 1000 Square Meter,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
kilogramPerHectare,Mass per area,kg/ha,Kilogram per Hectare,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://environment.data.gov.au/def/unit/KilogramsPerHectare
kilogramPerSquareMeter,Mass per area,kg/m^2,Kilogram per Square Meter,http://qudt.org/vocab/unit#KilogramPerSquareMeter; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
microgramPerSquareMeter,Mass per area,µg/m^2,Microgram per Square Meter,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
milligramPerSquareMeter,Mass per area,mg/m^2,Milligram per Square Meter,http://environment.data.gov.au/def/unit/MilligramsPerSquareMeter; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
ouncePerSquareFoot,Mass per area,oz/ft^2,Ounce per Square Foot,http://qudt.org/vocab/unit#OuncePerSquareFoot
ouncePerSquareYard,Mass per area,oz/yd^2,Ounce per Square Yard,http://qudt.org/vocab/unit#OuncePerSquareYard
poundPerSquareFoot,Mass per area,lb/ft^2,Pound per Square Foot,http://qudt.org/vocab/unit#PoundPerSquareFoot
slugPerSquareFoot,Mass per area,slug/ft^2,Slug per Square Foot,http://qudt.org/vocab/unit#SlugPerSquareFoot
tonnesPerHectare,Mass per area,t/ha,Tonnes per Hectare,http://environment.data.gov.au/def/unit/TonnesPerHectare
teslaSecond,Mass per electrical charge,s T,Tesla Second,http://qudt.org/vocab/unit#TeslaSecond
denier,Mass per length,den,Denier,http://qudt.org/vocab/unit#Denier
kilogramPerMeter,Mass per length,kg/m,Kilogram per Meter,http://qudt.org/vocab/unit#KilogramPerMeter
poundPerFoot,Mass per length,lb/ft,Pound per Foot,http://qudt.org/vocab/unit#PoundPerFoot
poundPerInch,Mass per length,lb/in,Pound per Inch,http://qudt.org/vocab/unit#PoundPerInch
poundPerMile,Mass per length,lb/mi,Pound per Mile,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
slugPerFoot,Mass per length,slug/ft,Slug per Foot,http://qudt.org/vocab/unit#SlugPerFoot
tex,Mass per length,tex,Tex,http://qudt.org/vocab/unit#Tex; http://unitsofmeasure.org/ucum.html#para-43; http://www.unidata.ucar.edu/software/udunits/
gramPerDay,Mass per time,g/d,Gram per Day,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
gramPerMinute,Mass per time,g/min,Gram per Minute,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
gramPerSecond,Mass per time,g/s,Gram per Second,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
kilogramPerHour,Mass per time,kg/h,Kilogram per Hour,http://qudt.org/vocab/unit#KilogramPerHour
kilogramPerMonth,Mass per time,kg/month,Kilogram per Month,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
kilogramPerSecond,Mass per time,kg/s,Kilogram per Second,http://qudt.org/vocab/unit#KilogramPerSecond
metricTonPerDay,Mass per time,tonne/day,Metric ton per day,
metricTonPerSecond,Mass per time,tonne/s,Metric ton per Second,
milligramPerDay,Mass per time,mg/d,Milligram per Day,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
poundPerDay,Mass per time,lb/d,Pound per Day,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
poundPerHour,Mass per time,lb/hr,Pound per Hour,http://qudt.org/vocab/unit#PoundPerHour
poundPerMinute,Mass per time,lb/min,Pound per Minute,http://qudt.org/vocab/unit#PoundPerMinute
shortTonPerDay,Mass per time,ton/d,Short Ton per Day,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
shortTonPerHour,Mass per time,ton/hr,Short Ton per Hour,http://qudt.org/vocab/unit#TonShortPerHour
shortTonPerMonth,Mass per time,ton/month,Short Ton per Month,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
slugPerSecond,Mass per time,slug/s,Slug per Second,http://qudt.org/vocab/unit#SlugPerSecond
gramDegreeCelsius,Mass temperature,g-degC,Gram Degree Celsius,http://qudt.org/vocab/unit#GramDegreeCelsius
kilogramKelvin,Mass temperature,kg-K,Kilogram Kelvin,http://qudt.org/vocab/unit#KilogramKelvin
poundDegreeFahrenheit,Mass temperature,lb-degF,Pound Degree Fahrenheit,http://qudt.org/vocab/unit#PoundDegreeFahrenheit
poundDegreeRankine,Mass temperature,lb-degR,Pound Degree Rankine,http://qudt.org/vocab/unit#PoundDegreeRankine
jouleSecondPerMole,Molar angular momentum,J s mol^-1,Joule Second per Mole,http://qudt.org/vocab/unit#JouleSecondPerMole
siemensSquareMeterPerMole,Molar conductivity,Sm^2/mol,Siemens Square Meter per Mole,
btuPerPoundMole,Molar energy,Btu/(lb-mol),BTU per Pound Mole,http://qudt.org/vocab/unit#BtuPerPoundMole
joulePerMole,Molar energy,J/mol,Joule per Mole,http://qudt.org/vocab/unit#JoulePerMole
kilocaloriePerMole,Molar energy,kcal/mol,Kilocalorie per Mole,http://qudt.org/vocab/unit#KilocaloriePerMole
btuPerPoundMoleDegreeFahrenheit,Molar heat capacity,Btu/(lb-mol-degF),Btu per Pound Mole Degree Fahrenheit,http://qudt.org/vocab/unit#BtuPerPoundMoleDegreeFahrenheit
joulePerMoleKelvin,Molar heat capacity,J/(mol-K),Joule per Mole Kelvin,http://qudt.org/vocab/unit#JoulePerMoleKelvin
kilocaloriePerMoleDegreeCelsius,Molar heat capacity,kcal/(mol-degC),Kilocalorie per Mole Degree Celsius,http://qudt.org/vocab/unit#KilocaloriePerMoleDegreeCelsius
kilogramPerMole,Molar mass,kg mol^-1,Kilogram per Mole,http://qudt.org/vocab/unit#KilogramPerMole
cubicMeterPerMole,Molar volume,m^3 mol^-1,Cubic Meter per Mole,http://qudt.org/vocab/unit#CubicMeterPerMole
degreeCelsiusMillimolePerCubicMeter,Other,DegC mmol/m^3,Degree Celsius Millimole per Cubic Meter,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
kilogramSecondSquared,Other,,Kilogram Second Squared,http://qudt.org/vocab/unit#KilogramSecondSquared
meterPerSecondDegreeCelsius,Other,m/s DegC,Meter per Second Degree Celsius,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
micromolePerLiterPerHour,Other,µmol/L hr,Micromole per Liter per Hour,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
milligramPerCubicMeterSquared,Other,(mg/m^3)^2,Milligram per Cubic Meter Squared,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
milliliterPerLiterPerHour,Other,mL/L/hr,Milliliter per Liter per Hour,http://qwwebservices.usgs.gov/service-domains.html
millimolePerCubicMeterSquared,Other,(mmol/m^3)^2,Millimole per Cubic Meter Squared,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
shortTonPerDayPerFoot,Other,ton/d/ft,Short Ton per Day per Foot,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
squaredDegreeCelsius,Other,(DegC)^2,Squared Degree Celsius,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
microeinsteinPerSquareMeterPerDay,Particle flux,uE/m^2 d,Microeinstein per Square Meter per Day,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
microeinsteinPerSquareMeterPerSecond,Particle flux,uE/m^2 s,Microeinstein per Square Meter per Second,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
micromolePerSquareMeterPerSecond,Particle flux,µmol/m^2 s,Micromole per Square Meter per Second,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://environment.data.gov.au/def/unit/MicroMolPerSecondPerMetreSquared; http://qwwebservices.usgs.gov/service-domains.html
millimolePerSquareMeterPerDay,Particle flux,mmol/m^2 d,Millimole per Square Meter per Day,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
millimolePerSquareMeterPerHour,Particle flux,mmol/m^2 hr,Millimole per Square Meter per Hour,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
millimolePerSquareMeterPerSecond,Particle flux,mmol/m^2 s,Millimole per Square Meter per Second,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
ph,pH,pH,pH,"http://environment.data.gov.au/def/unit/pH"";""http://environment.data.gov.au/def/unit/pH; http://unitsofmeasure.org/ucum.html#para-45"
squareCoulombMeterPerJoule,Polarizability,C^2 m^2 J^-1,Square Coulomb Meter per Joule,http://qudt.org/vocab/unit#SquareCoulombMeterPerJoule
potentialVorticityUnit,Potential vorticity,,Potential Vorticity Unit,http://www.unidata.ucar.edu/software/udunits/
btuPerHour,Power,Btu/hr,Btu per Hour,http://qudt.org/vocab/unit#BtuPerHour
btuPerSecond,Power,Btu/s,Btu per Second,http://qudt.org/vocab/unit#BtuPerSecond
ergPerSecond,Power,erg/s,Erg per Second,http://qudt.org/vocab/unit#ErgPerSecond
footPoundForcePerHour,Power,ft-lbf/hr,Foot Pound Force per Hour,http://qudt.org/vocab/unit#FootPoundForcePerHour
